user_id,sentence_id,brontekst,tokens,preconditions,number of preconditions,"ambiguious (1 = true, 0  false)",srl_tags,annotation_round,comments,timestamps,is_test_sentence,law,new_srl_tags
annotator_14,326-Wet_rechterlijke_organisatie,Degene die zitting heeft in de enkelvoudige kamer draagt de titel van kantonrechter dan wel kantonrechter - plaatsvervanger . ,"['Degene', 'die', 'zitting', 'heeft', 'in', 'de', 'enkelvoudige', 'kamer', 'draagt', 'de', 'titel', 'van', 'kantonrechter', 'dan', 'wel', 'kantonrechter', '-', 'plaatsvervanger', '.']",[],0.0,0.0,"['Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Wet_rechterlijke_organisatie,"['Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Actor', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', '.']"
annotator_3,536-Politiewet_2012,De examinatoren verstrekken de examencommissie de gevraagde inlichtingen . ,"['De', 'examinatoren', 'verstrekken', 'de', 'examencommissie', 'de', 'gevraagde', 'inlichtingen', '.']",[],0.0,0.0,"['Actor', 'Actor', 'Action', 'Recipient', 'Recipient', 'Object', 'Object', 'Object', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Politiewet_2012,"['Actor', 'Actor', 'Action', 'Recipient', 'Recipient', 'Object', 'Object', 'Object', '.']"
annotator_13,400-Vreemdelingenwet_2000,"Indien de aanvraag tot het verlenen van een verblijfsvergunning voor bepaalde tijd als bedoeld in  is ingediend door een langdurig ingezetene uit een andere lidstaat van de Europese Unie of diens gezinslid ,  wordt de beschikking in afwijking van het eerste lid gegeven binnen vier maanden ,  welke termijn in afwijking van het tweede lid in bijzondere gevallen verband houdende met de complexiteit van de aanvraag ,  voor ten hoogste drie maanden kan worden verlengd . ","['Indien', 'de', 'aanvraag', 'tot', 'het', 'verlenen', 'van', 'een', 'verblijfsvergunning', 'voor', 'bepaalde', 'tijd', 'als', 'bedoeld', 'in', 'is', 'ingediend', 'door', 'een', 'langdurig', 'ingezetene', 'uit', 'een', 'andere', 'lidstaat', 'van', 'de', 'Europese', 'Unie', 'of', 'diens', 'gezinslid', ',', 'wordt', 'de', 'beschikking', 'in', 'afwijking', 'van', 'het', 'eerste', 'lid', 'gegeven', 'binnen', 'vier', 'maanden', ',', 'welke', 'termijn', 'in', 'afwijking', 'van', 'het', 'tweede', 'lid', 'in', 'bijzondere', 'gevallen', 'verband', 'houdende', 'met', 'de', 'complexiteit', 'van', 'de', 'aanvraag', ',', 'voor', 'ten', 'hoogste', 'drie', 'maanden', 'kan', 'worden', 'verlengd', '.']","['Indien', 'de', 'aanvraag', 'tot', 'het', 'verlenen', 'van', 'een', 'verblijfsvergunning', 'voor', 'bepaalde', 'tijd', 'als', 'bedoeld', 'in', 'is', 'ingediend', 'door', 'een', 'langdurig', 'ingezetene', 'uit', 'een', 'andere', 'lidstaat', 'van', 'de', 'Europese', 'Unie', 'of', 'diens', 'gezinslid']",1.0,1.0,"['Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', ',', 'O', 'Object', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Vreemdelingenwet_2000,"['Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', ',', 'O', 'Object', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', ',', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', '.']"
annotator_14,406-Wet_op_de_jeugdzorg,"De griffier zendt ,  onverminderd  ,  een afschrift van de beschikking inzake de machtiging aan : ","['De', 'griffier', 'zendt', ',', 'onverminderd', ',', 'een', 'afschrift', 'van', 'de', 'beschikking', 'inzake', 'de', 'machtiging', 'aan', ':']",[],0.0,0.0,"['Actor', 'Actor', 'Action', ',', 'O', ',', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'O', 'O', ':']",DS,"Omdat er hierna een dubbele punt komt weet ik niet precies hoe ik dit woord moet interpreteren.|aannemend dat hier een onvanger na komt
",NOT_AVAILABLE_THIS_ROUND,False,Wet_op_de_jeugdzorg,"['Actor', 'Actor', 'Action', ',', 'O', ',', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'O', 'O', ':']"
annotator_10,1594-aanbestedingswet,"Indien een voorgenomen verkrijging van homogene leveringen kan leiden tot speciale - sectoropdrachten die in afzonderlijke percelen worden geplaatst ,  neemt het speciale - sectorbedrijf de geraamde totale waarde van deze percelen als grondslag voor de raming . ","['Indien', 'een', 'voorgenomen', 'verkrijging', 'van', 'homogene', 'leveringen', 'kan', 'leiden', 'tot', 'speciale', '-', 'sectoropdrachten', 'die', 'in', 'afzonderlijke', 'percelen', 'worden', 'geplaatst', ',', 'neemt', 'het', 'speciale', '-', 'sectorbedrijf', 'de', 'geraamde', 'totale', 'waarde', 'van', 'deze', 'percelen', 'als', 'grondslag', 'voor', 'de', 'raming', '.']","['Indien', 'een', 'voorgenomen', 'verkrijging', 'van', 'homogene', 'leveringen', 'kan', 'leiden', 'tot', 'speciale', '-', 'sectoropdrachten', 'die', 'in', 'afzonderlijke', 'percelen', 'worden', 'geplaatst']",1.0,0.0,"['Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', ',', 'Action', 'Actor', 'Actor', 'Actor', 'Actor', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'O', 'O', 'O', 'O', 'O', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,aanbestedingswet,"['Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', ',', 'Action', 'Actor', 'Actor', 'Actor', 'Actor', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'O', 'O', 'O', 'O', 'O', '.']"
annotator_3,380-Wet_rechterlijke_organisatie,Het bestuur bepaalt de bezetting van deze kamers . ,"['Het', 'bestuur', 'bepaalt', 'de', 'bezetting', 'van', 'deze', 'kamers', '.']",[],0.0,0.0,"['Actor', 'Actor', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Wet_rechterlijke_organisatie,"['Actor', 'Actor', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', '.']"
annotator_14,171-Monumentenwet_1988,Gedeputeerde staten melden een aanwijzingsbesluit als bedoeld in het eerste lid aan Onze minister . ,"['Gedeputeerde', 'staten', 'melden', 'een', 'aanwijzingsbesluit', 'als', 'bedoeld', 'in', 'het', 'eerste', 'lid', 'aan', 'Onze', 'minister', '.']",[],0.0,0.0,"['Actor', 'Actor', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Recipient', 'Recipient', 'Recipient', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Monumentenwet_1988,"['Actor', 'Actor', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Recipient', 'Recipient', 'Recipient', '.']"
annotator_10,415-Vreemdelingenwet_2000,"De gevolgen ,  bedoeld in het eerste lid ,  treden niet in indien de vreemdeling bezwaar of beroep heeft ingesteld en de werking van de beschikking is opgeschort . ","['De', 'gevolgen', ',', 'bedoeld', 'in', 'het', 'eerste', 'lid', ',', 'treden', 'niet', 'in', 'indien', 'de', 'vreemdeling', 'bezwaar', 'of', 'beroep', 'heeft', 'ingesteld', 'en', 'de', 'werking', 'van', 'de', 'beschikking', 'is', 'opgeschort', '.']","['indien', 'de', 'vreemdeling', 'bezwaar', 'of', 'beroep', 'heeft', 'ingesteld', 'en', 'de', 'werking', 'van', 'de', 'beschikking', 'is', 'opgeschort']",1.0,0.0,"['Object', 'Object', ',', 'Object', 'Object', 'Object', 'Object', 'Object', ',', 'Action', 'Action', 'O', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Vreemdelingenwet_2000,"['Object', 'Object', ',', 'Object', 'Object', 'Object', 'Object', 'Object', ',', 'Action', 'Action', 'O', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', '.']"
annotator_14,108-Politiewet_2012,"De officier van justitie draagt zorg voor de uitvoering van een besluit als bedoeld in het eerste lid ,  voor zover dat geschiedt ter strafrechtelijke handhaving van de rechtsorde . ","['De', 'officier', 'van', 'justitie', 'draagt', 'zorg', 'voor', 'de', 'uitvoering', 'van', 'een', 'besluit', 'als', 'bedoeld', 'in', 'het', 'eerste', 'lid', ',', 'voor', 'zover', 'dat', 'geschiedt', 'ter', 'strafrechtelijke', 'handhaving', 'van', 'de', 'rechtsorde', '.']","['voor', 'zover', 'dat', 'geschiedt', 'ter', 'strafrechtelijke', 'handhaving', 'van', 'de', 'rechtsorde']",1.0,0.0,"['Actor', 'Actor', 'Actor', 'Actor', 'Action', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', ',', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Politiewet_2012,"['Actor', 'Actor', 'Actor', 'Actor', 'Action', 'Action', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', 'Object', ',', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', '.']"
annotator_14,47-Zorgverzekeringswet,"De zorgverzekeraar stelt ,  voor zover dat redelijkerwijs nodig is voor de uitvoering van de zorgverzekering en van deze wet ,  de identiteit van de te verzekeren persoon vast . ","['De', 'zorgverzekeraar', 'stelt', ',', 'voor', 'zover', 'dat', 'redelijkerwijs', 'nodig', 'is', 'voor', 'de', 'uitvoering', 'van', 'de', 'zorgverzekering', 'en', 'van', 'deze', 'wet', ',', 'de', 'identiteit', 'van', 'de', 'te', 'verzekeren', 'persoon', 'vast', '.']","['voor', 'zover', 'dat', 'redelijkerwijs', 'nodig', 'is', 'voor', 'de', 'uitvoering', 'van', 'de', 'zorgverzekering', 'en', 'van', 'deze', 'wet']",1.0,0.0,"['Actor', 'Actor', 'Action', ',', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', ',', 'Object', 'O', 'Recipient', 'Recipient', 'Recipient', 'Recipient', 'O', 'O', '.']",DS,,NOT_AVAILABLE_THIS_ROUND,False,Zorgverzekeringswet,"['Actor', 'Actor', 'Action', ',', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', 'Precondition', ',', 'Object', 'O', 'Recipient', 'Recipient', 'Recipient', 'Recipient', 'O', 'O', '.']"
